"author_a","author_b","year","title"
"Cevik,S","TovarJalles,J","Accepted/In press","An apocalypse foretold: climate shocks and sovereign defaults. Open Economies Review. https://doi.org/10.1007/s11079-021-09624-8"
"Rego,A","Cunha,MPE","Accepted/In press","Are relationally transparent leaders more receptive to the relational transparency of others? An authentic dialog perspective. Journal of Business Ethics. https://doi.org/10.1007/s10551-021-04792-6"
"Rego,A","Giustiniano,L","Accepted/In press","Are relationally transparent leaders more receptive to the relational transparency of others? An authentic dialog perspective. Journal of Business Ethics. https://doi.org/10.1007/s10551-021-04792-6"
"Cunha,MPE","Giustiniano,L","Accepted/In press","Are relationally transparent leaders more receptive to the relational transparency of others? An authentic dialog perspective. Journal of Business Ethics. https://doi.org/10.1007/s10551-021-04792-6"
"Ninan,J","Mahalingam,A","Accepted/In press","Asset creation team rationalities and strategic discourses: Evidences from India. Infrastructure Asset Management. https://doi.org/10.1680/jinam.19.00062"
"Ninan,J","Clegg,S","Accepted/In press","Asset creation team rationalities and strategic discourses: Evidences from India. Infrastructure Asset Management. https://doi.org/10.1680/jinam.19.00062"
"Mahalingam,A","Clegg,S","Accepted/In press","Asset creation team rationalities and strategic discourses: Evidences from India. Infrastructure Asset Management. https://doi.org/10.1680/jinam.19.00062"
"Cunha,MPE","SoaresLeitão,MJ","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Cunha,MPE","Clegg,S","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Cunha,MPE","HernándezLinares,R","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Cunha,MPE","Moasa,H","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Cunha,MPE","Randerson,K","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Cunha,MPE","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"SoaresLeitão,MJ","Clegg,S","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"SoaresLeitão,MJ","HernándezLinares,R","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"SoaresLeitão,MJ","Moasa,H","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"SoaresLeitão,MJ","Randerson,K","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"SoaresLeitão,MJ","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Clegg,S","HernándezLinares,R","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Clegg,S","Moasa,H","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Clegg,S","Randerson,K","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Clegg,S","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"HernándezLinares,R","Moasa,H","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"HernándezLinares,R","Randerson,K","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"HernándezLinares,R","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Moasa,H","Randerson,K","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Moasa,H","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Randerson,K","Rego,A","Accepted/In press","Cognition, emotion and action: persistent sources of parent–offspring paradoxes in the family business. Journal of Family Business Management. https://doi.org/10.1108/JFBM-11-2020-0104"
"Fragoso,P","Chambel,MJ","Accepted/In press","Commitment profiles: an analysis of the Portuguese Navy Officers. Military Behavioral Health. https://doi.org/10.1080/21635781.2021.1982087"
"Fragoso,P","Castanheira,F","Accepted/In press","Commitment profiles: an analysis of the Portuguese Navy Officers. Military Behavioral Health. https://doi.org/10.1080/21635781.2021.1982087"
"Chambel,MJ","Castanheira,F","Accepted/In press","Commitment profiles: an analysis of the Portuguese Navy Officers. Military Behavioral Health. https://doi.org/10.1080/21635781.2021.1982087"
"Esteves,PS","Portela,M","Accepted/In press","Does domestic demand matter for firms’ exports? Open Economies Review. https://doi.org/10.1007/s11079-021-09623-9"
"Esteves,PS","Rua,A","Accepted/In press","Does domestic demand matter for firms’ exports? Open Economies Review. https://doi.org/10.1007/s11079-021-09623-9"
"Portela,M","Rua,A","Accepted/In press","Does domestic demand matter for firms’ exports? Open Economies Review. https://doi.org/10.1007/s11079-021-09623-9"
"Pinheiro,JA","Lages,LF","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Pinheiro,JA","Silva,GM","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Pinheiro,JA","Dias,AL","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Pinheiro,JA","Preto,MT","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Lages,LF","Silva,GM","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Lages,LF","Dias,AL","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Lages,LF","Preto,MT","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Silva,GM","Dias,AL","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Silva,GM","Preto,MT","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"Dias,AL","Preto,MT","Accepted/In press","Effects of absorptive capacity and innovation spillover on manufacturing flexibility. International Journal Of Productivity And Performance Management. https://doi.org/10.1108/IJPPM-04-2020-015"
"PaqueletMoreira,BF","Davel,E","Accepted/In press","Embodying improvisational education for managers: Learning from theater. Culture And Organization. https://doi.org/10.1080/14759551.2021.2010199"
"PaqueletMoreira,BF","Cunha,MPE","Accepted/In press","Embodying improvisational education for managers: Learning from theater. Culture And Organization. https://doi.org/10.1080/14759551.2021.2010199"
"Davel,E","Cunha,MPE","Accepted/In press","Embodying improvisational education for managers: Learning from theater. Culture And Organization. https://doi.org/10.1080/14759551.2021.2010199"
"Guimarães,MH","Nunes,LC","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Guimarães,MH","Rodrigues,A","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Guimarães,MH","Madureira,L","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Guimarães,MH","Dentinho,T","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Nunes,LC","Rodrigues,A","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Nunes,LC","Madureira,L","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Nunes,LC","Dentinho,T","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Rodrigues,A","Madureira,L","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Rodrigues,A","Dentinho,T","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Madureira,L","Dentinho,T","Accepted/In press","Evaluation of environmental actions by local citizens–a choice modeling application. Journal of Environmental Planning and Management. https://doi.org/10.1080/09640568.2021.2002276"
"Belo,R","Ferreira,P","Accepted/In press","Free riding in products with positive network externalities: empirical evidence from a large mobile network. MIS Quarterly: Management Information Systems, [(forthcoming)]. https://doi.org/10.25300/MISQ/2022/14712"
"Abrantes,ACM","Passos,AM","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Abrantes,ACM","Cunha,MPE","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Abrantes,ACM","Santos,CM","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Passos,AM","Cunha,MPE","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Passos,AM","Santos,CM","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Cunha,MPE","Santos,CM","Accepted/In press","Getting the knack for team-improvised adaptation: the role of reflexivity and team mental model similarity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211009344"
"Abboubi,ME","Pinnington,AH","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"Abboubi,ME","Clegg,S","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"Abboubi,ME","Nicolopoulou,K","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"Pinnington,AH","Clegg,S","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"Pinnington,AH","Nicolopoulou,K","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"Clegg,S","Nicolopoulou,K","Accepted/In press","Involving, countering, and overlooking stakeholder networks in soft regulation: case study of a small-to-medium-sized enterprise’s implementation of SA8000. Business and Society. https://doi.org/10.1177/00076503211017508"
"VendrellHerrero,F","Gomes,E","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"VendrellHerrero,F","OpazoBasaez,M","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"VendrellHerrero,F","Bustinza,OF","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"Gomes,E","OpazoBasaez,M","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"Gomes,E","Bustinza,OF","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"OpazoBasaez,M","Bustinza,OF","Accepted/In press","Knowledge acquisition throughout the lifecycle: product and industry learning frameworks. Journal Of Knowledge Management. https://doi.org/10.1108/JKM-05-2021-0387"
"Abrantes,ACM","Passos,AM","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
"Abrantes,ACM","Cunha,MPE","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
"Abrantes,ACM","Silva,SAD","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
"Passos,AM","Cunha,MPE","Accepted/In press","Looking at team improvised adaptation through a paradoxical lens: The role of team plasticity. Journal of Applied Behavioral Science. https://doi.org/10.1177/00218863211037441"
