"author","count_publications","nova_author"
"Abboubi,ME",1,"no"
"Aboagye,E",1,"no"
"Aboutajdine,S",2,"no"
"Abrantes,ACM",5,"no"
"Abrantes,JL",3,"no"
"Abreu,AM",1,"no"
"AbreuNovais,M",1,"no"
"Adão,B",4,"no"
"Addison,JT",4,"no"
"Adelino,M",1,"no"
"Adeojo,O",1,"no"
"Afonso,A",19,"no"
"Afonso,S",1,"no"
"Agante,L",3,"yes"
"Agnello,L",3,"no"
"AguiarConraria,L",1,"no"
"Ahammad,M",1,"no"
"Ahammad,MF",1,"no"
"Ahuja,S",1,"no"
"Aker,JC",1,"no"
"Akfirat,SA",1,"no"
"Alam,S",1,"no"
"Albuquerque,IF",1,"yes"
"Albuquerque,R",1,"no"
"Alcaraz,JM",1,"no"
"Almeida,H",2,"no"
"Almeida,P",4,"no"
"Almeida,SVD",2,"yes"
"AlmeidaCosta,A",1,"yes"
"AlmeidaCosta,L",2,"yes"
"AlmeidaSantos,L",1,"no"
"Alvarenga,A",3,"yes"
"Alves,C",1,"yes"
"Alves,J",2,"no"
"Alves,JRR",1,"no"
"Alves,M",3,"no"
"Amador,J",10,"yes"
"Amaral,L",6,"yes"
"Amarante,MV",2,"no"
"AmarodeMatos,J",6,"yes"
"AméRico,B",1,"no"
"Américo,BL",1,"no"
"AmorimLopes,M",2,"no"
"An,Z",1,"no"
"Anastácio,C",1,"no"
"Andraz,JM",1,"no"
"Andraz,JMLG",1,"no"
"Andresen,MA",1,"no"
"Angelo,C",1,"yes"
"Angwin,DN",2,"no"
"Anigo,D",1,"no"
"Anjos,F",4,"yes"
"Antonacopoulou,EP",1,"no"
"António,C",1,"no"
"António,N",2,"no"
"Antunes,A",3,"yes"
"Antunes,AA",3,"yes"
"Antunes,AC",1,"no"
"Armand,A",5,"yes"
"Arnott,R",1,"no"
"Aroles,J",1,"no"
"Arrigoni,M",1,"no"
"Arroja,L",1,"no"
"Arthurs,JD",1,"no"
"Aruta,JJBR",1,"no"
"Asad,S",2,"no"
"Ascorbebeitia,J",2,"no"
"Asseraf,Y",1,"no"
"Åstebro,T",2,"no"
"Attanasio,O",1,"no"
"Atwell,P",1,"no"
"Atyera,M",1,"no"
"Augsburg,B",2,"no"
"Aust,I",2,"no"
"Avanzi,L",1,"no"
"Awasthi,M",1,"no"
"Ayesiga,GE",1,"no"
"AyusoMateos,JL",1,"no"
"Azevedo,S",1,"no"
"Baba,V",1,"no"
"Baddeley,M",1,"no"
"Baghai,RP",1,"no"
"Baines,T",1,"no"
"Bal,PM",1,"no"
"Balboa,M",1,"no"
"BalcaoReis,A",1,"no"
"BalcãoReis,A",4,"yes"
"Baldé,A",1,"no"
"Ballada,CJA",1,"no"
"Ban,J",1,"no"
"BanaECosta,CA",1,"no"
"Banbury,C",2,"no"
"Bancalari,A",2,"no"
"Bancessi,A",5,"yes"
"Bancessi,Q",1,"no"
"Bandeira,S",4,"no"
"Bandeira,SO",1,"no"
"Barbas,M",2,"no"
"Barbosa,L",1,"no"
"BarbosaPóvoa,A",2,"no"
"Barbuto,JE",3,"no"
"Bardon,T",1,"no"
"Barnes,B",1,"no"
"Barreira,AP",3,"no"
"BarrioCastro,TD",1,"no"
"Barros,L",2,"no"
"Barros,PP",38,"yes"
"Barros,PPFerreira",1,"no"
"Barroso,P",3,"no"
"Barry,D",3,"yes"
"Barteldes,FS",1,"no"
"Basto,R",1,"yes"
"Batista,AC",1,"no"
"Batista,C",9,"yes"
"Batista,MDG",1,"no"
"BatistaSantos,P",1,"no"
"Baunsgaard,VV",1,"no"
"Bazarov,T",1,"no"
"Bazillier,R",1,"no"
"Beck,T",1,"no"
"Bednarek,R",4,"no"
"Bedon,C",2,"no"
"Behrens,GMN",1,"no"
"Behrens,K",1,"no"
"Beiroã,G",1,"no"
"Beja,P",1,"no"
"Bélanger,F",1,"no"
"Belo,R",2,"yes"
"Bena,J",1,"no"
"Bento,M",1,"no"
"Bento,R",1,"no"
"Berredo,RFD",1,"no"
"Bertau,M",1,"no"
"Berti,M",3,"no"
"Bessant,J",1,"no"
"Biesenthal,C",3,"no"
"Biron,C",1,"no"
"BjörkmanNyqvist,M",2,"no"
"Blanchard,O",1,"no"
"Bluhm,D",2,"no"
"Bluhm,DJ",1,"no"
"Bobbio,A",1,"no"
"Bobeica,E",1,"no"
"Bodla,AA",1,"no"
"Bonfim,D",5,"no"
"Boons,M",5,"yes"
"Bord,VM",2,"no"
"Borisova,E",1,"no"
"Borrell,C",1,"no"
"Bosancianu,CM",2,"no"
"Bosello,F",2,"no"
"Boski,T",2,"no"
"Boto,P",1,"no"
"Bottazzi,JM",1,"no"
"Boucinha,M",1,"yes"
"Bourek,A",1,"no"
"Bourreau,M",8,"no"
"BragadeMacedo,J",1,"yes"
"Brammer,S",1,"no"
"Branco,JDC",1,"no"
"BrandaoMarques,L",1,"no"
"Brandl,J",2,"no"
"BrásGeraldes,C",3,"yes"
"Braun,G",1,"no"
"Brazinha,C",1,"yes"
"Breitsohl,H",1,"no"
"Brewster,C",2,"no"
"Brilhante,M",3,"no"
"Brinca,P",6,"yes"
"BritesPereira,L",2,"yes"
"Brito,D",1,"yes"
"Brito,DRA",1,"no"
"Brookes,M",1,"no"
"Brounen,D",1,"no"
"Brouwer,W",1,"no"
"Brouwer,WBF",4,"no"
"Brown,DP",1,"no"
"Brueckner,JK",2,"no"
"Bruhin,A",1,"no"
"Bunjak,A",1,"no"
"Burdon,S",2,"no"
"Burnett,S",1,"no"
"Bustinza,OF",11,"no"
"By,RT",1,"no"
"Cabral,P",4,"yes"
"Cabral,PDCB",1,"no"
"Cabral,S",5,"no"
"Caeiro,RM",1,"yes"
"Caetano,A",1,"no"
"Cai,RA",1,"no"
"Cairo,AH",1,"no"
"CaldasAfonso,A",1,"no"
"Calhelha,RC",1,"no"
"Cambini,C",8,"no"
"Campello,M",1,"no"
"Campos,FS",2,"yes"
"CamposeCunha,L",1,"yes"
"Can,AB",1,"no"
"Cancro,D",1,"no"
"Canhão,H",3,"yes"
"Cappariello,R",1,"no"
"Cardona,MJ",1,"no"
"Cardoso,E",1,"no"
"Cardoso,S",1,"no"
"CardosoCosta,JM",1,"yes"
"CardosoGrilo,T",2,"no"
"Carlsen,A",1,"no"
"Carmeli,A",3,"no"
"Carmine,S",2,"no"
"Carneiro,A",3,"no"
"Carneiro,P",1,"no"
"Carqueja,HO",1,"no"
"Carradus,A",1,"no"
"Carvalho,A",1,"no"
"Carvalho,BP",1,"no"
"Carvalho,D",1,"no"
"Carvalho,H",1,"no"
"Carvalho,JC",1,"yes"
"Carvalho,M",2,"no"
"CarvalhoSantos,C",1,"no"
"Castanheira,F",24,"yes"
"Castanheira,FVDS",1,"no"
"Castro,IVE",1,"no"
"Castro,TDB",1,"no"
"Castro,V",3,"no"
"CastroSoeiro,F",1,"yes"
"Catalão,JPS",1,"no"
"Catarino,L",6,"no"
"Catarino,S",3,"no"
"Cavalcanti,T",2,"no"
"Cavaliere,G",2,"no"
"Cavaliere,V",1,"no"
"Cavaliereâ,G",1,"no"
"Cavazotte,F",2,"no"
"Cerdeira,JM",1,"no"
"Černe,M",1,"no"
"Cesário,F",2,"no"
"Cevik,S",1,"no"
"Chambel,MJ",18,"no"
"Champion,S",1,"no"
"Chan,A",2,"no"
"Chandler,T",1,"no"
"Charrua,AB",5,"yes"
"Chatterjee,A",2,"no"
"Chauque,A",1,"no"
"Chaves,C",1,"no"
"Chaves,P",1,"yes"
"Cheal,J",2,"no"
"Cheema,A",1,"no"
"Child,J",1,"no"
"Choi,DB",1,"no"
"Christopoulos,GI",2,"no"
"Cipriano,F",2,"yes"
"Ćirić,A",2,"no"
"Clegg,S",84,"yes"
"Clegg,SR",6,"yes"
"Clerkin,C",1,"no"
"Clougherty,JA",1,"no"
"Coelho,JP",1,"no"
"Coelho,P",2,"no"
"CoelhoDoVale,R",1,"no"
"Coimbra,JL",1,"no"
"Čolić,MV",1,"no"
"Collier,P",2,"no"
"Collins,E",1,"no"
"Collinson,S",1,"no"
"Colón,C",1,"no"
"Conceição,A",1,"no"
"Conceição,C",2,"no"
"Consiglio,I",3,"yes"
"Cool,K",1,"no"
"Cooper,CL",1,"no"
"Cordes,BL",1,"no"
"CorreaCaro,C",1,"no"
"Correia,A",2,"no"
"Correia,AG",1,"no"
"Correia,AM",2,"no"
"Correia,MF",1,"no"
"CorreiaLeal,C",1,"no"
"Corsetti,G",1,"no"
"Costa,A",2,"no"
"Costa,AA",1,"no"
"Costa,C",4,"no"
"Costa,E",1,"yes"
"Costa,JR",1,"no"
"Costa,L",2,"yes"
"Costa,S",5,"yes"
"Costa,SP",3,"no"
"Costabile,M",1,"no"
"CostaDuarte,MC",1,"no"
"CotaMedeiros,F",1,"no"
"Coutts,A",3,"yes"
"Craveiro,I",1,"yes"
"Cremers,M",1,"no"
"Crespo,CF",2,"no"
